
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.03ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.24ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.22ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.17ms
  2026-04-16 09:03:16 /api/exams/1/reports/export.pdf .............. ~ 0.07ms
  2026-04-16 09:03:47 /api/grading/pending-essays .................. ~ 0.65ms
  2026-04-16 09:03:47 /api/grading/pending-essays .................. ~ 0.89ms
  2026-04-16 09:03:48 /api/grading/pending-essays .................. ~ 0.04ms
  2026-04-16 09:03:48 /api/grading/pending-essays .................. ~ 0.03ms
  2026-04-16 09:03:50 /api/groups .................................. ~ 0.36ms
  2026-04-16 09:03:50 /api/groups .................................. ~ 1.29ms
  2026-04-16 09:03:50 /api/groups .................................. ~ 0.08ms
  2026-04-16 09:03:50 /api/groups .................................. ~ 0.07ms
  2026-04-16 09:03:52 /api/exams ................................... ~ 0.12ms
  2026-04-16 09:03:52 /api/exams ................................... ~ 0.47ms
  2026-04-16 09:03:52 /api/exams ................................. ~ 504.16ms
  2026-04-16 09:03:52 /api/exams ................................... ~ 0.12ms
  2026-04-16 09:03:54 /api/groups .................................. ~ 0.26ms
  2026-04-16 09:03:54 /api/groups .................................. ~ 0.94ms
  2026-04-16 09:03:54 /api/groups .................................. ~ 0.06ms
  2026-04-16 09:03:54 /api/groups .................................. ~ 0.06ms
  2026-04-16 09:03:55 /api/exams ................................... ~ 0.29ms
  2026-04-16 09:03:55 /api/exams ................................... ~ 1.02ms
  2026-04-16 09:03:55 /api/exams ................................... ~ 0.06ms
  2026-04-16 09:03:55 /api/exams ................................... ~ 0.06ms
  2026-04-16 09:03:56 /api/question-banks .......................... ~ 0.10ms
  2026-04-16 09:03:56 /api/question-banks .......................... ~ 0.04ms
  2026-04-16 09:03:56 /api/question-banks .......................... ~ 0.03ms
  2026-04-16 09:03:56 /api/question-banks .......................... ~ 0.03ms
  2026-04-16 09:03:58 /api/exams ................................... ~ 0.11ms
  2026-04-16 09:03:58 /api/exams ................................... ~ 0.42ms
  2026-04-16 09:03:58 /api/exams ................................... ~ 0.02ms
  2026-04-16 09:03:58 /api/exams ................................... ~ 0.02ms
  2026-04-16 09:04:01 /api/exams/1/participants .................... ~ 0.42ms
  2026-04-16 09:04:01 /api/groups .................................. ~ 1.32ms
  2026-04-16 09:04:01 /api/exams/1/participants .................... ~ 2.36ms
  2026-04-16 09:04:01 /api/groups .................................. ~ 1.95ms
  2026-04-16 09:04:01 /api/exams/1/participants .................... ~ 1.16ms
  2026-04-16 09:04:01 /api/groups .................................. ~ 0.81ms
  2026-04-16 09:04:01 /api/exams/1/participants .................... ~ 0.10ms
  2026-04-16 09:04:01 /api/groups .................................. ~ 0.04ms
  2026-04-16 09:04:20 /api/exams/1/analytics/summary ............... ~ 0.18ms
  2026-04-16 09:04:20 /api/exams/1/analytics/item-analysis ......... ~ 0.43ms
  2026-04-16 09:04:20 /api/exams/1/reports/ranking ................. ~ 0.59ms
  2026-04-16 09:04:20 /api/exams/1/analytics/summary ............... ~ 0.43ms
  2026-04-16 09:04:20 /api/exams/1/analytics/item-analysis ......... ~ 0.24ms
  2026-04-16 09:04:20 /api/exams/1/reports/ranking ................. ~ 0.19ms
  2026-04-16 09:04:20 /api/exams/1/analytics/summary ............... ~ 0.25ms
  2026-04-16 09:04:20 /api/exams/1/analytics/item-analysis ......... ~ 0.23ms
  2026-04-16 09:04:20 /api/exams/1/reports/ranking ................. ~ 0.19ms
  2026-04-16 09:04:21 /api/exams/1/analytics/summary ............... ~ 0.25ms
  2026-04-16 09:04:21 /api/exams/1/analytics/item-analysis ......... ~ 0.23ms
  2026-04-16 09:04:21 /api/exams/1/reports/ranking ................. ~ 0.18ms
  2026-04-16 09:04:40 /api/exams ................................... ~ 0.17ms
  2026-04-16 09:04:40 /api/exams/1/tokens .......................... ~ 0.58ms
  2026-04-16 09:04:40 /api/exams ................................... ~ 0.90ms
  2026-04-16 09:04:40 /api/exams/1/tokens .......................... ~ 1.24ms
  2026-04-16 09:04:40 /api/exams ................................... ~ 0.04ms
  2026-04-16 09:04:40 /api/exams/1/tokens .......................... ~ 0.38ms
  2026-04-16 09:04:40 /api/exams ................................... ~ 0.03ms
  2026-04-16 09:04:40 /api/exams/1/tokens .......................... ~ 0.03ms
  2026-04-16 09:05:32 /api/exams/1/token ........................... ~ 0.44ms
  2026-04-16 09:05:32 /api/exams/1/token ........................... ~ 0.07ms
  2026-04-16 09:05:32 /api/exams/1/tokens .......................... ~ 0.06ms
  2026-04-16 09:05:32 /api/exams/1/tokens .......................... ~ 0.05ms
  2026-04-16 09:05:44 /api/exams/1/tokens/2 ........................ ~ 0.37ms
  2026-04-16 09:05:44 /api/exams/1/tokens/2 ........................ ~ 0.11ms
  2026-04-16 09:05:49 /api/exams ................................... ~ 0.39ms
  2026-04-16 09:05:49 /api/exams/1/tokens .......................... ~ 0.13ms
  2026-04-16 09:05:49 /api/exams ................................... ~ 0.98ms
  2026-04-16 09:05:49 /api/exams/1/tokens .......................... ~ 1.07ms
  2026-04-16 09:05:49 /api/exams ................................... ~ 0.56ms
  2026-04-16 09:05:49 /api/exams/1/tokens .......................... ~ 0.65ms
  2026-04-16 09:05:49 /api/exams ................................... ~ 0.06ms
  2026-04-16 09:05:49 /api/exams/1/tokens .......................... ~ 0.06ms
  2026-04-16 09:05:50 /api/exams ................................... ~ 0.37ms
  2026-04-16 09:05:50 /api/exams/1/tokens .......................... ~ 1.09ms
  2026-04-16 09:05:50 /api/exams ................................... ~ 1.58ms
  2026-04-16 09:05:50 /api/exams/1/tokens .......................... ~ 2.19ms
  2026-04-16 09:05:50 /api/exams ................................... ~ 0.07ms
  2026-04-16 09:05:50 /api/exams/1/tokens .......................... ~ 0.57ms
  2026-04-16 09:05:50 /api/exams ................................... ~ 0.05ms
  2026-04-16 09:05:50 /api/exams/1/tokens .......................... ~ 0.05ms
  2026-04-16 09:05:55 /api/exams/1/tokens/2 ........................ ~ 0.17ms
  2026-04-16 09:05:55 /api/exams/1/tokens/2 ........................ ~ 0.05ms
  2026-04-16 09:06:16 /api/exams/1/analytics/summary ............... ~ 0.08ms
  2026-04-16 09:06:16 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:06:16 /api/exams/1/reports/ranking ................. ~ 0.27ms
