
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-15 11:26:58 /api/exams/1/participants .................... ~ 0.02ms
  2026-04-15 11:27:31 /api/exams ................................... ~ 0.42ms
  2026-04-15 11:27:31 /api/exams ................................... ~ 0.94ms
  2026-04-15 11:27:31 /api/exams ................................... ~ 0.02ms
  2026-04-15 11:27:31 /api/exams ................................... ~ 0.01ms
  2026-04-15 11:29:34 /api/exams ................................... ~ 5.19ms
  2026-04-15 11:29:34 /api/exams ................................... ~ 6.28ms
  2026-04-15 11:29:34 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:29:34 /api/exams ................................... ~ 0.05ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.20ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.74ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.05ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.19ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.84ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.64ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.04ms
  2026-04-15 11:29:35 /api/exams ................................... ~ 0.02ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.35ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.12ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.08ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.09ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.81ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.05ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.32ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:29:36 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:29:50 /api/exams/1/participants .................... ~ 0.25ms
  2026-04-15 11:29:50 /api/exams/1/participants .................... ~ 0.83ms
  2026-04-15 11:29:50 /api/exams/1/participants .................... ~ 0.07ms
  2026-04-15 11:29:50 /api/exams/1/participants .................... ~ 0.07ms
  2026-04-15 11:29:53 /api/exams ................................... ~ 0.34ms
  2026-04-15 11:29:53 /api/exams ................................... ~ 1.11ms
  2026-04-15 11:29:53 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:29:53 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:29:54 /api/exams/1 ................................. ~ 0.14ms
  2026-04-15 11:29:54 /api/exams/1/questions ....................... ~ 0.43ms
  2026-04-15 11:29:54 /api/exams/1 ................................. ~ 0.62ms
  2026-04-15 11:29:54 /api/exams/1/questions ....................... ~ 0.89ms
  2026-04-15 11:29:54 /api/exams/1 ................................. ~ 0.03ms
  2026-04-15 11:29:54 /api/exams/1/questions ....................... ~ 0.28ms
  2026-04-15 11:29:54 /api/exams/1 ................................. ~ 0.02ms
  2026-04-15 11:29:54 /api/exams/1/questions ....................... ~ 0.02ms
  2026-04-15 11:30:16 /api/question-banks .......................... ~ 0.80ms
  2026-04-15 11:30:16 /api/question-banks .......................... ~ 0.08ms
  2026-04-15 11:30:16 /api/question-banks .......................... ~ 0.08ms
  2026-04-15 11:30:16 /api/question-banks .......................... ~ 0.08ms
  2026-04-15 11:30:19 /api/exams ................................... ~ 0.25ms
  2026-04-15 11:30:19 /api/exams ................................... ~ 0.84ms
  2026-04-15 11:30:19 /api/exams ................................... ~ 0.05ms
  2026-04-15 11:30:19 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:30:21 /api/exams/1 ................................. ~ 0.25ms
  2026-04-15 11:30:21 /api/exams/1/questions ....................... ~ 0.83ms
  2026-04-15 11:30:21 /api/exams/1 ................................. ~ 0.45ms
  2026-04-15 11:30:21 /api/exams/1/questions ....................... ~ 0.57ms
  2026-04-15 11:30:21 /api/exams/1 ................................. ~ 0.56ms
  2026-04-15 11:30:21 /api/exams/1/questions ....................... ~ 0.54ms
  2026-04-15 11:30:21 /api/exams/1 ................................. ~ 0.05ms
  2026-04-15 11:30:21 /api/exams/1/questions ....................... ~ 0.05ms
  2026-04-15 11:30:27 /api/question-banks .......................... ~ 0.40ms
  2026-04-15 11:30:27 /api/question-banks .......................... ~ 0.11ms
  2026-04-15 11:30:29 /api/question-banks/1/questions .............. ~ 0.41ms
  2026-04-15 11:30:29 /api/question-banks/1/questions .............. ~ 0.10ms
  2026-04-15 11:30:30 /api/question-banks .......................... ~ 0.11ms
  2026-04-15 11:30:30 /api/question-banks .......................... ~ 0.07ms
  2026-04-15 11:30:39 /api/exams/1/questions ....................... ~ 0.30ms
  2026-04-15 11:30:39 /api/exams/1/questions ....................... ~ 0.06ms
  2026-04-15 11:31:04 /api/exams ................................... ~ 4.61ms
  2026-04-15 11:31:04 /api/exams ................................... ~ 4.82ms
  2026-04-15 11:31:04 /api/exams ................................... ~ 0.02ms
  2026-04-15 11:31:04 /api/exams ................................... ~ 0.01ms
  2026-04-15 11:32:24 /api/exams ................................... ~ 1.16ms
  2026-04-15 11:32:24 /api/exams ................................... ~ 2.45ms
  2026-04-15 11:32:24 /api/exams ................................... ~ 0.08ms
  2026-04-15 11:32:24 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 0.39ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 1.57ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 0.09ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 0.27ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 1.36ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:32:25 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:32:26 /api/exams ................................... ~ 0.28ms
  2026-04-15 11:32:26 /api/exams ................................... ~ 1.00ms
  2026-04-15 11:32:26 /api/exams ................................... ~ 0.09ms
  2026-04-15 11:32:26 /api/exams ................................... ~ 0.05ms
  2026-04-15 11:32:27 /api/exams/1 ................................. ~ 0.10ms
  2026-04-15 11:32:27 /api/exams/1/questions ....................... ~ 0.38ms
  2026-04-15 11:32:27 /api/exams/1 ................................. ~ 0.57ms
  2026-04-15 11:32:27 /api/exams/1/questions ....................... ~ 0.81ms
  2026-04-15 11:32:27 /api/exams/1 ............................... ~ 505.45ms
  2026-04-15 11:32:27 /api/exams/1/questions ..................... ~ 506.20ms
  2026-04-15 11:32:27 /api/exams/1 ................................. ~ 0.06ms
  2026-04-15 11:32:27 /api/exams/1/questions ....................... ~ 0.06ms
  2026-04-15 11:32:43 /api/question-banks .......................... ~ 0.46ms
  2026-04-15 11:32:44 /api/question-banks .......................... ~ 0.11ms
  2026-04-15 11:32:45 /api/question-banks/1/questions .............. ~ 0.15ms
  2026-04-15 11:32:45 /api/question-banks/1/questions .............. ~ 0.04ms
  2026-04-15 11:32:45 /api/question-banks .......................... ~ 0.04ms
  2026-04-15 11:32:45 /api/question-banks .......................... ~ 0.04ms
  2026-04-15 11:32:57 /api/question-banks .......................... ~ 0.09ms
  2026-04-15 11:32:57 /api/question-banks .......................... ~ 0.03ms
  2026-04-15 11:32:57 /api/question-banks .......................... ~ 0.02ms
