
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ............... ~ 505.77ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............. ~ 506.27ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.54ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.46ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.58ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.56ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.49ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.61ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.58ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.42ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.09ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.06ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.34ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.43ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.42ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.33ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.43ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.36ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.27ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.36ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.33ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.25ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.26ms
  2026-04-16 08:48:40 /api/exams/1/reports/ranking ................. ~ 0.37ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.31ms
