 INFO  Accepting connections at http://localhost:5173
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:58 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:22:58 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:22:58 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:22:58 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:58 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:22:58 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:58 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:22:58 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:23:01 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:23:01 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:23:01 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:23:01 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:23:05 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:23:05 PM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 1:23:05 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:23:05 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:05 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:23:05 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:23:06 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:23:06 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:06 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:23:06 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:22 PM ::1 GET /login
 HTTP  4/18/2026 1:23:22 PM ::1 Returned 200 in 4 ms
 HTTP  4/18/2026 1:23:22 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:23:22 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:22 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:23:22 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:22 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:23:22 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:22 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:23:22 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:36 PM ::1 GET /
 HTTP  4/18/2026 1:23:36 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:23:36 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:23:36 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:36 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:23:36 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:23:36 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:23:36 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:24:36 PM ::1 GET /
 HTTP  4/18/2026 1:24:36 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:24:36 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:24:36 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:24:36 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:24:36 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:26:54 PM ::1 GET /
 HTTP  4/18/2026 1:26:54 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 GET /assets/index-C5aAmjD9.js
 HTTP  4/18/2026 1:27:03 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 200 in 3 ms
 HTTP  4/18/2026 1:27:03 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 GET /assets/index-C5aAmjD9.js
 HTTP  4/18/2026 1:27:03 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:27:03 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:27:03 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:27:04 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:27:04 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:27:04 PM ::1 GET /assets/index-C5aAmjD9.js
 HTTP  4/18/2026 1:27:04 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:27:04 PM ::1 Returned 304 in 1 ms
